atm_id,atm_name,latitude,longitude,area_type,city,monthly_transactions,avg_withdrawal_amount,atm_status,last_used_days_ago,data_source,location_data_quality,anchor_latitude,anchor_longitude,linkage_type,distance_method,atm_density_1km
ATM00000,Hinjewadi,18.592335122986498,73.7389,IT Hub,Pune,3069,2424,Active,118,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,976
ATM00001,Aundh,18.559131756198084,73.8077,Residential,Pune,117,2935,Active,26,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,1020
ATM00002,Swargate,18.503033335813296,73.8636,Commercial,Pune,608,3173,Active,21,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1060
ATM00003,Hadapsar,18.51013730180091,73.9235,Residential,Pune,2158,3607,Active,40,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,951
ATM00004,Hinjewadi,18.590104430746255,73.73986223435614,Residential,Pune,1180,4280,Active,51,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,971
ATM00005,Camp,18.5179364032486,73.8567,Mixed,Pune,1805,3092,Active,10,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1089
ATM00006,Aundh,18.556908730674955,73.80865789186495,Mixed,Pune,1553,3887,Active,43,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,1015
ATM00007,Yerwada,18.563835043997006,73.877,IT Hub,Pune,3568,2550,Active,44,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,977
ATM00008,Yerwada,18.5616045316285,73.8779619760188,Residential,Pune,2687,4159,Active,56,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,972
ATM00009,Aundh,18.55802430558284,73.80620591325217,IT Hub,Pune,1200,2353,Active,3,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,1007
ATM00010,Camp,18.515702795646245,73.85766339473099,Commercial,Pune,0,3389,Active,31,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1039
ATM00011,Hadapsar,18.507901648050854,73.92446445945274,IT Hub,Pune,859,3735,Active,95,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,942
ATM00012,Kothrud,18.50863480774129,73.8077,Mixed,Pune,3924,3367,Active,76,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,981
ATM00013,Hadapsar,18.509025389691978,73.92199331487393,Residential,Pune,0,3416,Active,2,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,938
ATM00014,Shivaji Nagar,18.531235839296205,73.85,Mixed,Pune,169,1350,Active,6,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,998
ATM00015,Camp,18.51682521403411,73.85519535699613,Mixed,Pune,243,2050,Active,76,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1056
ATM00016,Kothrud,18.506404833364936,73.80866137384976,IT Hub,Pune,0,3252,Active,32,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,974
ATM00017,Hadapsar,18.509812364238535,73.92475492963096,Mixed,Pune,0,2611,Active,2,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,934
ATM00018,Camp,18.517610917768877,73.85795299717091,IT Hub,Pune,2788,4082,Active,41,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1035
ATM00019,Shivaji Nagar,18.52900351590389,73.8509627737695,Commercial,Pune,1004,2416,Active,1,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1101
ATM00020,Hinjewadi,18.591224963755845,73.73739770986775,Mixed,Pune,1423,2023,Active,69,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,964
ATM00021,Hinjewadi,18.592008856831214,73.74015070727225,Residential,Pune,2139,3306,Active,34,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,959
ATM00022,Viman Nagar,18.569131608258864,73.9143,Residential,Pune,667,3144,Active,28,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,1021
ATM00023,Swargate,18.500806713253024,73.86455952640877,Residential,Pune,426,1300,Active,69,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,993
ATM00024,Yerwada,18.5627249483142,73.87549814659938,IT Hub,Pune,3906,1895,Active,57,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,965
ATM00025,Aundh,18.55880343704959,73.80894300687466,Mixed,Pune,1995,2126,Active,11,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,1003
ATM00026,Viman Nagar,18.56690891961707,73.91525776541877,Residential,Pune,319,2890,Active,15,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,1016
ATM00027,Swargate,18.5019246143816,73.86210269312207,Residential,Pune,359,3725,Active,108,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1025
ATM00028,Camp,18.515170481050703,73.85641467888232,Commercial,Pune,0,2549,Active,156,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1027
ATM00029,Kothrud,18.507524902128605,73.80619918659842,Commercial,Pune,353,3785,Active,11,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,968
ATM00030,Aundh,18.556384209090627,73.80741717156528,Residential,Pune,18,2896,Active,13,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,998
ATM00031,Kothrud,18.508308349356447,73.80894939633158,IT Hub,Pune,0,3535,Active,47,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,964
ATM00032,Hinjewadi,18.58957426312478,73.73861526032826,IT Hub,Pune,185,3587,Active,19,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,956
ATM00033,Kothrud,18.505875194403394,73.8074155735839,IT Hub,Pune,1953,2890,Active,53,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,960
ATM00034,Kothrud,18.50874843405905,73.80679545602541,Residential,Pune,2233,3798,Active,0,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,955
ATM00035,Aundh,18.559239894560346,73.8068009188019,Residential,Pune,1731,2930,Active,7,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,994
ATM00036,Shivaji Nagar,18.530125103787135,73.84849656486223,Mixed,Pune,0,2098,Active,35,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,996
ATM00037,Camp,18.51805289895818,73.8557924115991,Commercial,Pune,362,3095,Active,13,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1091
ATM00038,Kothrud,18.50697335391953,73.80937365935311,Mixed,Pune,1701,2788,Active,0,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,951
ATM00039,Shivaji Nagar,18.530910009930764,73.85125184576768,Commercial,Pune,2778,3723,Active,3,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1007
