transaction_id,customer_id,transaction_date,transaction_time,account_type,transaction_type,transaction_amount,transaction_direction,account_balance,merchant_category,state,credit_score,has_loan,loan_type,emi_amount,transaction_status,channel,kyc_status,is_fraud,hour,day_of_week,is_weekend,time_since_last_transaction,time_since_last_transaction_available,transaction_count_1h,transaction_count_24h,withdrawal_count_1h,withdrawal_count_24h,withdrawal_amount_1h,withdrawal_amount_24h,amount_velocity_1h,amount_velocity_24h,average_withdrawal_amount_24h
TXN000000294,CUST054241,2019-01-01,00:43,Savings,ATM_Withdrawal,2000.0,Debit,54675.55,Food & Dining,Maharashtra,471,1,Auto,1668.93,Success,POS_Terminal,Verified,0,0,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000114,CUST050637,2019-01-01,05:41,Savings,ATM_Withdrawal,2000.0,Debit,8383.58,Healthcare,Gujarat,611,1,Education,6068.76,Success,Web,Verified,0,5,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000273,CUST039791,2019-01-01,11:56,Savings,ATM_Withdrawal,500.0,Debit,147819.27,Fuel,Delhi,340,1,Personal,5055.09,Success,ATM,Verified,0,11,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000012,CUST064821,2019-01-01,13:52,Current,ATM_Withdrawal,1000.0,Debit,32673.88,E-Commerce,Tamil Nadu,500,0,,0.0,Failed,Mobile_App,Verified,0,13,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000212,CUST046844,2019-01-01,19:27,Salary,ATM_Withdrawal,500.0,Debit,39430.45,Investment,Gujarat,456,0,,0.0,Success,Web,Verified,0,19,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000164,CUST052734,2019-01-01,21:20,NRI,ATM_Withdrawal,10000.0,Debit,3705.56,Real Estate,Delhi,825,0,,0.0,Success,Mobile_App,Verified,0,21,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000125,CUST022300,2019-01-01,23:10,Savings,ATM_Withdrawal,1000.0,Debit,6713.07,Fuel,Tamil Nadu,508,0,,0.0,Success,Branch,Verified,0,23,1,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000322,CUST029593,2019-01-02,05:41,NRI,ATM_Withdrawal,3000.0,Debit,11516.11,Real Estate,UP,898,1,Business,1404.99,Success,Mobile_App,Verified,0,5,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000317,CUST054749,2019-01-02,09:21,Current,ATM_Withdrawal,2000.0,Debit,16279.31,Education,Maharashtra,517,1,,2268.92,Success,Mobile_App,Verified,0,9,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000486,CUST072937,2019-01-02,12:32,Salary,ATM_Withdrawal,1000.0,Debit,67858.38,E-Commerce,Karnataka,478,0,,0.0,Success,Web,Verified,0,12,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000528,CUST013808,2019-01-02,17:00,Savings,ATM_Withdrawal,2000.0,Debit,98659.6,Retail,Rajasthan,776,1,Home,9226.37,Success,Mobile_App,Verified,0,17,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000760,CUST067662,2019-01-03,00:03,Salary,ATM_Withdrawal,10000.0,Debit,197057.52,Healthcare,Tamil Nadu,747,1,Auto,20855.72,Success,ATM,Verified,0,0,3,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000669,CUST032050,2019-01-03,03:52,Salary,ATM_Withdrawal,2000.0,Debit,253066.1,E-Commerce,Tamil Nadu,730,1,,2793.05,Success,ATM,Verified,0,3,3,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TXN000000803,CUST017261,2019-01-03,06:50,NRI,ATM_Withdrawal,5000.0,Debit,70994.15,E-Commerce,Punjab,764,0,,0.0,Success,Mobile_App,Verified,0,6,3,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
